GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
89883	0.1385	0	0	0	0.06558	0	0	0	0.01986	0	0.006331	0	0.006522	0
5304	0	0	0	0	0	0	0	0	0	0.05513	0	0	0	0
259285	0	0	0	0	0.03229	0	0	0	0.088	0	0.0187	0.02165	0.03853	0
259286	0	0	0	0	0.02099	0.01612	0	0	0.1144	0.01018	0.05471	0.04222	0.009393	0
105375546	0.05978	0.08273	0.05959	0	0	0.06767	0.3293	0.04656	0.2401	0.06412	0.07654	0.2658	0.03942	0.1115
105375545	0.0987	0	0.09839	0	0.05454	0.05587	0.4531	0.2306	0.1982	0.3882	0.4107	0.6584	0.2767	0.1228
373156	83.53	41.69	32.63	83.83	34.22	32.17	119.2	24.42	107.5	49.07	38.09	127.2	37.09	55.52
135932	0.04712	0.09782	0.1096	0	0.08246	0.1134	1.547	0.8487	1.289	0.8255	0.6599	1.362	0.6137	1.055
835	7.014	2.579	1.631	6.272	2.205	2.659	8.741	2.383	7.948	2.956	2.707	7.677	2.262	4.034
1180	0	0.004105	0	0.07535	0.02295	0	0	0	0	0.006363	0.03987	0	0.008802	0
9715	0.1195	0.226	0.2819	0.01686	0.4336	0.2773	0.01097	0.05816	0.012	0.2649	0.2888	0.06199	0.1694	0.13
101928397	0	0	0	0	0.01173	0	0	0	0	0	0.08154	0	0	0
100507507	1.213	1.614	1.18	2.152	0.8041	0.4707	0.9066	0.6206	0.4523	0.8733	0.7264	1.335	0.6398	0.6465
7791	3.293	9.593	7.414	1.716	7.88	6.602	2.837	2.895	2.378	9.871	6.542	8.1	6.97	8.018
102465538	1.808	1.192	1.03	1.459	0.6662	0.5849	1.186	0.2012	1.556	0.4618	0.4962	1.532	0.7667	0.1607
